model,organ,contrast_type,25%,Median,75%
STU-Net B,kidney_left,Arterial,0.913990557193756,0.9267978072166444,0.9368521571159363
STU-Net B,kidney_left,Venous,0.9141288995742798,0.9272864460945128,0.9389573037624359
STU-Net B,kidney_right,Arterial,0.9230064302682877,0.9358857572078705,0.9462605416774749
STU-Net B,kidney_right,Venous,0.9215355813503265,0.9343897998332977,0.944149062037468
STU-Net B,liver,Arterial,0.9592437744140626,0.96479332447052,0.9689007699489595
STU-Net B,liver,Venous,0.9650659114122391,0.9691359996795654,0.9722825586795808
STU-Net B,pancreas,Arterial,0.8184700608253479,0.8519309163093567,0.8768318295478821
STU-Net B,pancreas,Venous,0.8372931182384491,0.8676387369632721,0.8884172886610031
STU-Net B,postcava,Arterial,0.7591140568256378,0.8104865550994873,0.8528677523136139
STU-Net B,postcava,Venous,0.7976809740066528,0.8456500172615051,0.8768458962440491
STU-Net B,spleen,Arterial,0.9483074694871901,0.9576843678951263,0.9645514786243439
STU-Net B,spleen,Venous,0.9505183696746826,0.9601181745529176,0.966524064540863
STU-Net B,stomach,Arterial,0.9287806451320648,0.9466133713722228,0.9563072025775909
STU-Net B,stomach,Venous,0.9288125485181808,0.9467730820178986,0.9569404125213624
STU-Net H,aorta,Arterial,0.8330898582935333,0.9010071158409119,0.9179448485374451
STU-Net H,aorta,Venous,0.6989782452583313,0.75135138630867,0.8386589288711548
STU-Net H,gall_bladder,Arterial,0.8363753855228424,0.8792709708213806,0.9081544876098634
STU-Net H,gall_bladder,Venous,0.8562440276145935,0.8979052305221558,0.924446165561676
STU-Net H,kidney_left,Arterial,0.9139243066310884,0.9262270331382751,0.9365461319684982
STU-Net H,kidney_left,Venous,0.9140063226222991,0.9269267618656158,0.9386323988437653
STU-Net H,kidney_right,Arterial,0.923139750957489,0.9358197450637816,0.9462756514549256
STU-Net H,kidney_right,Venous,0.9217981696128844,0.9346026182174684,0.9442343711853028
STU-Net H,liver,Arterial,0.9597861170768738,0.9653202295303344,0.9692317843437196
STU-Net H,liver,Venous,0.9656187891960144,0.9697006344795228,0.9728477001190186
STU-Net H,pancreas,Arterial,0.8229943215847015,0.8562308549880981,0.8797173947095871
STU-Net H,pancreas,Venous,0.8394277095794678,0.8696646690368652,0.8893253803253174
STU-Net H,postcava,Arterial,0.7546445578336716,0.8070416450500488,0.8520258963108063
STU-Net H,postcava,Venous,0.7954065799713135,0.8444947004318237,0.8764805495738983
STU-Net H,spleen,Arterial,0.9490904211997986,0.958124339580536,0.9645781517028807
STU-Net H,spleen,Venous,0.9513231813907624,0.9604902267456055,0.9667008817195892
STU-Net H,stomach,Arterial,0.9313878268003465,0.9486408531665802,0.9583810567855836
STU-Net H,stomach,Venous,0.9308838844299316,0.948588252067566,0.95875084400177
STU-Net L,aorta,Arterial,0.8311866670846939,0.8994255661964417,0.9172817766666411
STU-Net L,aorta,Venous,0.6972566097974777,0.7496010363101959,0.8413383811712265
STU-Net L,gall_bladder,Arterial,0.8307016640901566,0.8764894604682922,0.9071331173181535
STU-Net L,gall_bladder,Venous,0.853387713432312,0.8966243267059326,0.923490345478058
STU-Net L,kidney_left,Arterial,0.9130619019269943,0.9258522391319276,0.9361144304275513
STU-Net L,kidney_left,Venous,0.913750097155571,0.926990270614624,0.9386432468891144
STU-Net L,kidney_right,Arterial,0.9219908714294434,0.9352113008499146,0.9458928108215332
STU-Net L,kidney_right,Venous,0.921116054058075,0.9339696168899536,0.9439998865127563
STU-Net L,liver,Arterial,0.9595375061035156,0.965009868144989,0.9690948128700256
STU-Net L,liver,Venous,0.9655230045318604,0.9695656895637512,0.972672164440155
STU-Net L,pancreas,Arterial,0.8221844285726547,0.8554393649101257,0.8790090531110764
STU-Net L,pancreas,Venous,0.8395524024963379,0.8691383004188538,0.8895308375358582
STU-Net L,postcava,Arterial,0.7582722753286362,0.8102700710296631,0.8541509211063385
STU-Net L,postcava,Venous,0.7972475290298462,0.8451533019542694,0.8768397271633148
STU-Net L,spleen,Arterial,0.9489834904670716,0.9580944776535034,0.964758276939392
STU-Net L,spleen,Venous,0.9514118134975433,0.9603903591632843,0.9667825549840927
STU-Net L,stomach,Arterial,0.9304421693086625,0.948257327079773,0.9578560888767242
STU-Net L,stomach,Venous,0.930662214756012,0.9485157132148744,0.9585461020469666
SegVol,aorta,Arterial,0.7710745334625244,0.8887306451797485,0.9162765741348268
SegVol,aorta,Venous,0.7017980068922043,0.7575023472309113,0.8671652227640152
