"algoRow","algoCol","pval","confidenceTier"
"MONAI_UNETR","_SAM-Adapter",7.6247409360188e-138,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","_SAM-Adapter",0,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","_SAM-Adapter",0,"<U+2265>99.99%"
"_Diff-UNet","_SAM-Adapter",0,"<U+2265>99.99%"
"_MedFormer","_SAM-Adapter",0,"<U+2265>99.99%"
"_SAM-Adapter","_SAM-Adapter",NA,NA
"nnU-Net_MedNeXt","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_NexToU","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_ResEncL","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_U-Net","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_MedNeXt",1,"<75%"
"MONAI_SegVol","nnU-Net_MedNeXt",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_MedNeXt",1,"<75%"
"MONAI_UCTransNet","nnU-Net_MedNeXt",1,"<75%"
"MONAI_UNEST","nnU-Net_MedNeXt",1,"<75%"
"MONAI_UNETR","nnU-Net_MedNeXt",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_MedNeXt",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_MedNeXt",1,"<75%"
"_Diff-UNet","nnU-Net_MedNeXt",1,"<75%"
"_MedFormer","nnU-Net_MedNeXt",1,"<75%"
"_SAM-Adapter","nnU-Net_MedNeXt",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_MedNeXt",NA,NA
"nnU-Net_NexToU","nnU-Net_MedNeXt",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_MedNeXt",0.515845479297399,"<75%"
"nnU-Net_STU-Net_B","nnU-Net_MedNeXt",0.00403294717220688,"<U+2265>99%"
