"algoRow","algoCol","pval","confidenceTier"
"Vision_Language_U-Net_CLIP","nnU-Net_MedNeXt",2.08647677448628e-118,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_MedNeXt",5.89473432650408e-105,"<U+2265>99.99%"
"_MedFormer","nnU-Net_MedNeXt",1.64994887811878e-90,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_MedNeXt",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","nnU-Net_MedNeXt",NA,NA
"nnU-Net_NexToU","nnU-Net_MedNeXt",4.90271688337361e-215,"<U+2265>99.99%"
"nnU-Net_ResEncL","nnU-Net_MedNeXt",0.968323780493144,"<75%"
"nnU-Net_STU-Net_B","nnU-Net_MedNeXt",0.00806589434441376,"<U+2265>99%"
"nnU-Net_STU-Net_H","nnU-Net_MedNeXt",8.86759415175328e-05,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","nnU-Net_MedNeXt",0.235256179302632,"<U+2265>75%"
"nnU-Net_U-Net","nnU-Net_MedNeXt",0.0747862847635142,"<U+2265>90%"
"nnU-Net_UniSeg","nnU-Net_MedNeXt",2.27701459835481e-95,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_NexToU",4.54421422604636e-25,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_NexToU",8.99135067633044e-08,"<U+2265>99.99%"
"MONAI_Swin_UNETR","nnU-Net_NexToU",1.9371153041379e-226,"<U+2265>99.99%"
"MONAI_UCTransNet","nnU-Net_NexToU",2.57303582974265e-89,"<U+2265>99.99%"
"MONAI_UNEST","nnU-Net_NexToU",2.12428654324962e-123,"<U+2265>99.99%"
"MONAI_UNETR","nnU-Net_NexToU",2.47352585816712e-307,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_NexToU",0.0606130576698881,"<U+2265>90%"
"Vision_Language_U-Net_CLIP","nnU-Net_NexToU",4.49735324239489e-16,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_NexToU",6.32706195490726e-30,"<U+2265>99.99%"
"_MedFormer","nnU-Net_NexToU",2.93153602710624e-23,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_NexToU",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","nnU-Net_NexToU",4.90271688337361e-215,"<U+2265>99.99%"
"nnU-Net_NexToU","nnU-Net_NexToU",NA,NA
"nnU-Net_ResEncL","nnU-Net_NexToU",4.76361597807937e-215,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","nnU-Net_NexToU",5.87662604028937e-291,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","nnU-Net_NexToU",3.78075686029548e-205,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","nnU-Net_NexToU",3.81896944996172e-230,"<U+2265>99.99%"
"nnU-Net_U-Net","nnU-Net_NexToU",1.55753012662301e-221,"<U+2265>99.99%"
"nnU-Net_UniSeg","nnU-Net_NexToU",5.38232514376179e-68,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_ResEncL",7.82351963632724e-154,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_ResEncL",7.59092956416574e-282,"<U+2265>99.99%"
"MONAI_Swin_UNETR","nnU-Net_ResEncL",0,"<U+2265>99.99%"
"MONAI_UCTransNet","nnU-Net_ResEncL",0,"<U+2265>99.99%"
"MONAI_UNEST","nnU-Net_ResEncL",0,"<U+2265>99.99%"
"MONAI_UNETR","nnU-Net_ResEncL",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_ResEncL",9.93489513823503e-230,"<U+2265>99.99%"
